nH	En	En-1	diffGibbs	Remarks(n,n-1)
11	-801.17665378	-798.65076720	0.79245240	#8@PH2-3@Ptop,#8@PH2-1@Ptop-1@NiPbrdg-1
11	-801.17665378	-798.65069755	0.79238275	#8@PH2-3@Ptop,#8@PH2-1@Ptop-1@NiPbrdg-2
11	-801.17665378	-798.57395529	0.71564048	#8@PH2-3@Ptop,#8@PH2-2@NiPbrdg
12	-805.34419473	-802.35675682	0.33090106	#12@PH3,#9@PH3-2@PH2
12	-805.34419473	-801.20725952	-0.81859624	#12@PH3,#8@PH2-3@NiPbrdg-1
12	-805.34419473	-801.17860169	-0.84725407	#12@PH3,#8@PH2-3@NiPbrdg-2
12	-805.34419473	-801.17665378	-0.84920198	#12@PH3,#8@PH2-3@Ptop
12	-804.43362969	-802.35675682	1.24146610	#6@PH2-3@PH3-2@Ptop-1@NiPbrdg,#9@PH3-2@PH2
12	-804.43362969	-801.20725952	0.09196880	#6@PH2-3@PH3-2@Ptop-1@NiPbrdg,#8@PH2-3@NiPbrdg-1
12	-804.43362969	-801.17860169	0.06331097	#6@PH2-3@PH3-2@Ptop-1@NiPbrdg,#8@PH2-3@NiPbrdg-2
12	-804.43362969	-801.17665378	0.06136306	#6@PH2-3@PH3-2@Ptop-1@NiPbrdg,#8@PH2-3@Ptop
12	-803.78574133	-802.35675682	1.88935447	#8@PH2-4@Ptop,#9@PH3-2@PH2
12	-803.78574133	-801.20725952	0.73985717	#8@PH2-4@Ptop,#8@PH2-3@NiPbrdg-1
12	-803.78574133	-801.17860169	0.71119934	#8@PH2-4@Ptop,#8@PH2-3@NiPbrdg-2
12	-803.78574133	-801.17665378	0.70925143	#8@PH2-4@Ptop,#8@PH2-3@Ptop
12	-803.76458222	-802.35675682	1.91051357	#8@PH2-4@NiPbrdg-2,#9@PH3-2@PH2
12	-803.76458222	-801.20725952	0.76101627	#8@PH2-4@NiPbrdg-2,#8@PH2-3@NiPbrdg-1
12	-803.76458222	-801.17860169	0.73235844	#8@PH2-4@NiPbrdg-2,#8@PH2-3@NiPbrdg-2
12	-803.76458222	-801.17665378	0.73041053	#8@PH2-4@NiPbrdg-2,#8@PH2-3@Ptop
12	-803.70969163	-802.35675682	1.96540416	#8@PH2-4@NiPbrdg-1,#9@PH3-2@PH2
12	-803.70969163	-801.20725952	0.81590686	#8@PH2-4@NiPbrdg-1,#8@PH2-3@NiPbrdg-1
12	-803.70969163	-801.17860169	0.78724903	#8@PH2-4@NiPbrdg-1,#8@PH2-3@NiPbrdg-2
12	-803.70969163	-801.17665378	0.78530112	#8@PH2-4@NiPbrdg-1,#8@PH2-3@Ptop
